policy,condition,seed,cell,episode,success,failure_mode,frames,duration_s,n_releases,n_kept,nearest_release_deg,max_travel_deg
clean,clean,1000,new_positions,6,0,no_departure,1143,38.067,0,0,,
clean,clean,1000,new_positions,7,0,timeout_other,1139,37.933,2,0,47.29120483501666,2.3126267870926966
clean,clean,1000,new_positions,8,0,timeout_other,1143,38.067,3,0,48.803373348415704,2.394894300476203
clean,clean,1000,new_positions,9,0,timeout_other,1146,38.167,0,0,,
clean,clean,1000,new_positions,10,0,timeout_other,1148,38.233,4,0,47.59953251871998,2.9929801359210018
clean,clean,1000,new_positions,11,0,timeout_other,1145,38.133,3,1,37.72559096589453,10.58016632673696
clean,clean,1000,new_positions,12,0,timeout_other,1144,38.1,2,0,44.36009449345114,2.372663871405571
clean,clean,1000,new_positions,13,0,timeout_other,1080,35.967,1,0,47.597958522928195,1.3790030418430774
clean,clean,1000,new_positions,14,0,timeout_other,1068,35.567,1,0,47.6723940503547,0.0679767171085146
clean,clean,1000,new_positions,15,0,timeout_other,1062,35.367,5,0,45.002153610179874,5.099795213500279
clean,clean,1000,reduced_lighting,1,1,success,746,24.833,1,1,2.010213472660201,47.11555220691315
clean,clean,1000,reduced_lighting,2,1,success,593,19.733,1,1,3.4403840420699616,45.06161072360359
clean,clean,1000,reduced_lighting,3,1,success,539,17.933,1,1,2.1631244500454123,46.464223702323316
clean,clean,1000,reduced_lighting,4,1,success,621,20.667,1,1,4.0493612047176235,44.80419728078783
clean,clean,1000,reduced_lighting,5,1,success,504,16.767,1,1,3.857807726049021,44.71845069394733
clean,clean,1000,reduced_lighting,6,0,timeout_other,1151,38.333,0,0,,
clean,clean,1000,reduced_lighting,7,1,success,604,20.1,1,1,3.4062084322921997,45.88228127429233
clean,clean,1000,reduced_lighting,8,1,success,514,17.1,1,1,5.171817406025692,43.82230794963821
clean,clean,1000,reduced_lighting,9,1,success,633,21.067,2,1,2.9643118275368714,45.69933049676154
clean,clean,1000,reduced_lighting,10,0,contact_no_grasp,1151,38.333,4,0,39.700271810540045,9.90282347100925
clean,clean,1000,reduced_lighting,11,1,success,621,20.667,1,1,2.302674555106183,45.83757436623419
