eval_cell,slowpace,slowpace_rate,retained_color,retained_rate,difference,diff_ci_low,diff_ci_high,fisher_p
in_distribution,10/15,0.6667,13/15,0.8667,-0.2,-0.4674,0.1053,0.3898
different_object,14/15,0.9333,15/15,1.0,-0.0667,-0.2982,0.1445,1.0
