_step,train/losses_after_rm_padding,run
6000,0.0570625074766576,color-slowpace
6200,0.0546823575161397,color-slowpace
6400,0.0533177497982978,color-slowpace
6600,0.0525919131468981,color-slowpace
6800,0.0516498804371804,color-slowpace
7000,0.05190159952268,color-slowpace
7200,0.050564588708803,color-slowpace
7400,0.049544265884906,color-slowpace
7600,0.048940369002521,color-slowpace
7800,0.049756716042757,color-slowpace
8000,0.0468245963193476,color-slowpace
8200,0.046810324890539,color-slowpace
8400,0.0475957960262894,color-slowpace
8600,0.0469298201892524,color-slowpace
8800,0.0459090515039861,color-slowpace
9000,0.0471326359175145,color-slowpace
9200,0.0465269747842103,color-slowpace
9400,0.0472525976598262,color-slowpace
9600,0.0456005155947059,color-slowpace
9800,0.0471752607729285,color-slowpace
200,0.3180692213401198,color
400,0.2060976680368185,color
600,0.1847513048350811,color
800,0.1690610977634787,color
1000,0.155797895938158,color
1200,0.1495576360076665,color
1400,0.1386118538677692,color
1600,0.13473890658468,color
1800,0.1326342048868537,color
2000,0.1232250302284956,color
2200,0.1176205028966069,color
2400,0.1143254908546805,color
2600,0.1101740800589323,color
2800,0.107765939682722,color
3000,0.1026619527488947,color
3200,0.09997473847121,color
3400,0.0957544097304344,color
3600,0.0925437781587243,color
3800,0.0874332351610064,color
4000,0.08519994052127,color
4200,0.082953526917845,color
4400,0.0813010868430137,color
4600,0.0791382190026342,color
4800,0.0747196849808096,color
5000,0.0727378518134355,color
5200,0.0711462612450122,color
5400,0.0687424679100513,color
5600,0.066988056153059,color
5800,0.0637244042754173,color
6000,0.0641996978782117,color
6200,0.0615002935379743,color
6400,0.0590100220777094,color
6600,0.057746224887669,color
6800,0.0567117139417678,color
7000,0.05612518126145,color
7200,0.056421830477193,color
7400,0.0542876913957297,color
7600,0.0543131073098629,color
7800,0.0545608266256749,color
8000,0.0526482881605625,color
8200,0.051609778786078,color
8400,0.0518661400489509,color
8600,0.0521801051683723,color
8800,0.0507651562523096,color
9000,0.0507312395889312,color
9200,0.0529170756693929,color
9400,0.0527655469998717,color
9600,0.0521066225878894,color
9800,0.0518323027156293,color
200,0.2570494394004345,randomized-seed2000
400,0.1840440966933965,randomized-seed2000
600,0.154643884114921,randomized-seed2000
800,0.1462288420647382,randomized-seed2000
1000,0.1316520377993583,randomized-seed2000
1200,0.1220438268780708,randomized-seed2000
1400,0.1180784952640533,randomized-seed2000
1600,0.1096065667644143,randomized-seed2000
1800,0.1018789250217378,randomized-seed2000
2000,0.0985153259895741,randomized-seed2000
2200,0.0918311413004994,randomized-seed2000
2400,0.092243824545294,randomized-seed2000
2600,0.0873346872255206,randomized-seed2000
2800,0.0851306283660233,randomized-seed2000
3000,0.0803615198098123,randomized-seed2000
3200,0.0780534989386796,randomized-seed2000
3400,0.0730736034363508,randomized-seed2000
3600,0.0698098045401275,randomized-seed2000
3800,0.0670419986918568,randomized-seed2000
4000,0.0652011895924806,randomized-seed2000
4200,0.0631547865085303,randomized-seed2000
4400,0.05871422377415,randomized-seed2000
4600,0.0591791124269366,randomized-seed2000
4800,0.0565972782112658,randomized-seed2000
5000,0.0539336842251941,randomized-seed2000
5200,0.052306658513844,randomized-seed2000
5400,0.050362866166979,randomized-seed2000
5600,0.0480622824281454,randomized-seed2000
5800,0.0468964197300374,randomized-seed2000
6000,0.0458442392852157,randomized-seed2000
6200,0.0452351328264921,randomized-seed2000
6400,0.0445231112092733,randomized-seed2000
6600,0.0422695972584188,randomized-seed2000
6800,0.0409308684710413,randomized-seed2000
7000,0.0407150967186316,randomized-seed2000
7200,0.0393853611685335,randomized-seed2000
7400,0.0414621094893664,randomized-seed2000
7600,0.0392187303677201,randomized-seed2000
7800,0.0388022659532725,randomized-seed2000
8000,0.037098949085921,randomized-seed2000
8200,0.0381658362597227,randomized-seed2000
8400,0.0369189441949129,randomized-seed2000
8600,0.0377607990987598,randomized-seed2000
8800,0.0364083573408424,randomized-seed2000
9000,0.0367644569929689,randomized-seed2000
9200,0.0377555011305958,randomized-seed2000
9400,0.0361543415766209,randomized-seed2000
9600,0.0354417091049254,randomized-seed2000
9800,0.0357103036623448,randomized-seed2000
200,0.2540586061775684,randomized
400,0.1870830216631293,randomized
600,0.1649181114137172,randomized
800,0.1451101587712764,randomized
1000,0.1327959280833602,randomized
1200,0.1187132553011179,randomized
1400,0.1160196531563997,randomized
1600,0.1074019998311996,randomized
1800,0.1036123197525739,randomized
2000,0.1013129542022943,randomized
2200,0.0928648994117975,randomized
2400,0.0882181301899254,randomized
2600,0.0863144489377737,randomized
2800,0.0838390371575951,randomized
3000,0.079244773518294,randomized
3200,0.0772348500788211,randomized
3400,0.0737871220335364,randomized
3600,0.0693693566508591,randomized
3800,0.0678632112778723,randomized
4000,0.0675735208019614,randomized
4200,0.0622409090213477,randomized
4400,0.0611591068841516,randomized
4600,0.0574644313007593,randomized
4800,0.053419099105522,randomized
5000,0.055902164010331,randomized
5200,0.0512939288280904,randomized
5400,0.050225676940754,randomized
5600,0.04898965023458,randomized
5800,0.0471977693215012,randomized
6000,0.0477138481754809,randomized
6200,0.0443643175903707,randomized
6400,0.0445058062672615,randomized
6600,0.0440428165253251,randomized
6800,0.0412077534105628,randomized
7000,0.0413220897573046,randomized
7200,0.0414057556632906,randomized
7400,0.0393312316294759,randomized
7600,0.0394173729978501,randomized
7800,0.0397673472482711,randomized
8000,0.0379738536314107,randomized
8200,0.0377641272824257,randomized
8400,0.0378451566211879,randomized
8600,0.0379614732041954,randomized
8800,0.0373370931856334,randomized
9000,0.0373824844043701,randomized
9200,0.0372484341915696,randomized
9400,0.0374919504858553,randomized
9600,0.0366401214618235,randomized
9800,0.037491936692968,randomized
200,0.2909276907145977,recovery-seed2000
400,0.1980028768628835,recovery-seed2000
600,0.172474518045783,recovery-seed2000
800,0.1559365004301071,recovery-seed2000
1000,0.1482544069364667,recovery-seed2000
1200,0.1418871404603123,recovery-seed2000
1400,0.1360097446665167,recovery-seed2000
1600,0.1273099082335829,recovery-seed2000
1800,0.1208597473800182,recovery-seed2000
2000,0.1177257135882973,recovery-seed2000
2200,0.1107196048088371,recovery-seed2000
2400,0.1113199687004089,recovery-seed2000
2600,0.1063998282328248,recovery-seed2000
2800,0.1028029659762978,recovery-seed2000
3000,0.0992766670882701,recovery-seed2000
3200,0.0977347684092819,recovery-seed2000
3400,0.0934870839677751,recovery-seed2000
3600,0.0895421458035707,recovery-seed2000
3800,0.0888363630510866,recovery-seed2000
4000,0.083598678857088,recovery-seed2000
4200,0.082707848958671,recovery-seed2000
4400,0.078552375473082,recovery-seed2000
4600,0.0767940792813897,recovery-seed2000
4800,0.0740183700621128,recovery-seed2000
5000,0.0748466053046286,recovery-seed2000
5200,0.0713232253491878,recovery-seed2000
5400,0.0686901782639324,recovery-seed2000
5600,0.0679154668748378,recovery-seed2000
5800,0.0643888142891228,recovery-seed2000
6000,0.0630951052717864,recovery-seed2000
6200,0.0655080379545688,recovery-seed2000
6400,0.0594475205801427,recovery-seed2000
6600,0.0600703110173344,recovery-seed2000
6800,0.0590175193734467,recovery-seed2000
7000,0.0582433401700109,recovery-seed2000
7200,0.0571357575152069,recovery-seed2000
7400,0.0575009153038263,recovery-seed2000
7600,0.0555239604692906,recovery-seed2000
7800,0.0551481651235371,recovery-seed2000
8000,0.0547565122321248,recovery-seed2000
8200,0.0544824886135757,recovery-seed2000
8400,0.0538894409686327,recovery-seed2000
8600,0.0538666047807782,recovery-seed2000
8800,0.0533521292638033,recovery-seed2000
9000,0.0533090069890022,recovery-seed2000
9200,0.0535096993483603,recovery-seed2000
9400,0.0528632025048136,recovery-seed2000
9600,0.0529318197350949,recovery-seed2000
9800,0.0529066595900803,recovery-seed2000
200,0.2925865080952644,recovery
400,0.1942267096042633,recovery
600,0.1791711740940809,recovery
800,0.1629232616722583,recovery
1000,0.1503054138645529,recovery
1200,0.1379649658501148,recovery
1400,0.133639821447432,recovery
1600,0.1281219501793384,recovery
1800,0.1228306003659963,recovery
2000,0.1185191471502184,recovery
2200,0.1089341471716761,recovery
2400,0.1090626699104905,recovery
2600,0.1082361389324069,recovery
2800,0.1034778126887977,recovery
3000,0.0984648039750754,recovery
3200,0.0965843337029218,recovery
3400,0.0925422143004834,recovery
3600,0.09021538246423,recovery
3800,0.0886247175000607,recovery
4000,0.0838173674419522,recovery
4200,0.0814972116425633,recovery
4400,0.0801142104528844,recovery
4600,0.0760541066899895,recovery
4800,0.073667336013168,recovery
5000,0.0728606712259352,recovery
5200,0.0704453023523092,recovery
5400,0.0673911159671843,recovery
5600,0.0668344274815171,recovery
5800,0.0655092581920325,recovery
6000,0.0654108751006424,recovery
6200,0.0612356948107481,recovery
6400,0.0610478183254599,recovery
6600,0.0615692379884421,recovery
6800,0.0603279126062989,recovery
7000,0.0583988506346941,recovery
7200,0.0578003436885774,recovery
7400,0.0575889068376272,recovery
7600,0.0546945558302104,recovery
7800,0.0573555778060108,recovery
8000,0.0548956789076328,recovery
8200,0.0539962247665971,recovery
8400,0.0548566998913884,recovery
8600,0.0550490889139473,recovery
8800,0.054232834437862,recovery
9000,0.0537934011220932,recovery
9200,0.0535538267809897,recovery
9400,0.0540160632599145,recovery
9600,0.0534661831147968,recovery
9800,0.0538477328047156,recovery
200,0.28895437814295294,density
400,0.18400331560522318,density
600,0.16107791900634766,density
800,0.15057895034551622,density
1000,0.13957764253020286,density
1200,0.12697778783738614,density
1400,0.1265454400330782,density
1600,0.12391129460185767,density
1800,0.11715608801692724,density
2000,0.11480183765292168,density
2200,0.10927598278969526,density
2400,0.10661012236028909,density
2600,0.10165779026225209,density
2800,0.10200495164841414,density
3000,0.09652083713561296,density
3200,0.09575711147859693,density
3400,0.09262853434309364,density
3600,0.09018188120797277,density
3800,0.08564780909568072,density
4000,0.08269250366836786,density
4200,0.0825395006686449,density
4400,0.08031267633661628,density
4600,0.0783627868257463,density
4800,0.07526312479749322,density
5000,0.0750133742019534,density
5200,0.0720383202470839,density
5400,0.0700727714970708,density
5600,0.06867377407848835,density
5800,0.06975004138424992,density
6000,0.0672405700944364,density
6200,0.06614536639302969,density
6400,0.06290886793285608,density
6600,0.06432170510292053,density
6800,0.06295542342588306,density
7000,0.06230157596990466,density
7200,0.06080732738599181,density
7400,0.05898457147181034,density
7600,0.059631145680323246,density
7800,0.057883721832185986,density
8000,0.05775231401436031,density
8200,0.05766102434135974,density
8400,0.05747100174427033,density
8600,0.05741595519706607,density
8800,0.05550704597495496,density
9000,0.05846036048606038,density
9200,0.056899052280932665,density
9400,0.0584825449436903,density
9600,0.05563095225021243,density
9800,0.05587842035107315,density
