condition,eval_cell,seed,episode,instance,success,flagged,failure_mode,regrasp,notes
clean,near_2in,2000,7,-,0,,timeout_other,,went to t6
clean,near_2in,2000,8,-,0,,contact_no_grasp,,"went to t6, bumped cube at last second"
density,in_distribution,1000,1,-,1,,success,,
density,in_distribution,1000,2,-,1,,success,,
density,in_distribution,1000,3,-,1,,success,,
density,in_distribution,1000,4,-,1,,success,,
density,in_distribution,1000,5,-,1,,success,,
density,in_distribution,1000,6,-,1,,success,,
density,in_distribution,1000,7,-,1,,success,,
density,in_distribution,1000,8,-,1,,success,,
density,in_distribution,1000,9,-,1,,success,,
density,in_distribution,1000,10,-,1,,success,,
density,in_distribution,1000,11,-,1,,success,,
density,in_distribution,1000,12,-,1,,success,,
density,in_distribution,1000,13,-,1,,success,,
density,in_distribution,1000,14,-,1,,success,,
density,in_distribution,1000,15,-,1,,success,,
density,trained_t2,1000,1,-,1,,success,,
density,trained_t2,1000,2,-,1,,success,,
density,trained_t2,1000,3,-,1,,success,,
density,trained_t2,1000,4,-,1,,success,,
density,trained_t2,1000,5,-,1,,success,,
density,trained_t2,1000,6,-,1,,success,,
density,trained_t2,1000,7,-,1,,success,,
density,trained_t2,1000,8,-,1,,success,,
density,trained_t2,1000,9,-,1,,success,,
density,trained_t2,1000,10,-,1,,success,,
density,trained_t2,1000,11,-,1,,success,,
density,trained_t2,1000,12,-,1,,success,,
density,trained_t2,1000,13,-,1,,success,,
density,trained_t2,1000,14,-,1,,success,,
density,trained_t2,1000,15,-,1,,success,,
density,new_positions,1000,1,E1,0,,timeout_other,,
density,new_positions,1000,2,E1,0,,timeout_other,,
density,new_positions,1000,3,E1,0,,timeout_other,,
density,new_positions,1000,4,E2,0,,timeout_other,,
density,new_positions,1000,5,E2,0,,timeout_other,,
density,new_positions,1000,6,E2,0,,timeout_other,,
density,new_positions,1000,7,E3,0,,timeout_other,,
density,new_positions,1000,8,E3,0,,timeout_other,,
density,new_positions,1000,9,E3,0,,timeout_other,,
density,new_positions,1000,10,E4,0,,timeout_other,,
density,new_positions,1000,11,E4,0,,timeout_other,,
density,new_positions,1000,12,E4,0,,timeout_other,,
density,new_positions,1000,13,E5,0,,timeout_other,,
density,new_positions,1000,14,E5,0,,timeout_other,,
density,new_positions,1000,15,E5,0,,timeout_other,,
