policy,condition,seed,cell,episode,n_frames,duration_s,max_dev_deg,departed,latency_s,deg_per_step,peak_deg_step,exec_s,success,failure_mode,regrasp,instance
clean,clean,1000,near_2in,3,1148,38.233333587646484,110.41,True,17.7,0.7414,10.25,20.53,0,timeout_other,,-
clean,clean,1000,near_2in,4,1147,38.20000076293945,114.45,True,14.23,0.7586,8.948,23.97,0,timeout_other,,-
clean,clean,1000,near_2in,5,1147,38.20000076293945,113.8,True,10.17,0.7778,7.198,28.03,0,timeout_other,,-
clean,clean,1000,near_2in,6,1151,38.33333206176758,112.19,True,5.7,0.7623,11.416,32.63,0,timeout_other,,-
clean,clean,1000,near_2in,7,1151,38.33333206176758,111.13,True,5.13,0.722,9.605,33.2,0,timeout_other,,-
clean,clean,1000,near_2in,8,1148,38.233333587646484,114.04,True,9.23,0.7594,10.6,29.0,0,timeout_other,,-
clean,clean,1000,new_positions,1,1146,38.16666793823242,117.63,True,17.3,0.7407,7.44,20.87,0,timeout_other,,E1
clean,clean,1000,new_positions,2,1148,38.233333587646484,117.42,True,3.57,0.7755,8.364,34.67,0,timeout_other,,E1
clean,clean,1000,new_positions,3,1144,38.099998474121094,117.03,True,9.77,0.7848,9.33,28.33,0,timeout_other,,E1
clean,clean,1000,new_positions,4,1140,37.96666717529297,6.57,False,,,,,0,no_departure,,E2
clean,clean,1000,new_positions,5,1143,38.06666564941406,118.3,True,6.83,0.7153,8.066,31.23,0,timeout_other,,E2
clean,clean,1000,new_positions,6,1143,38.06666564941406,8.29,False,,,,,0,no_departure,,E2
clean,clean,1000,new_positions,7,1139,37.93333435058594,115.63,True,10.57,0.7108,8.172,27.37,0,timeout_other,,E3
clean,clean,1000,new_positions,8,1143,38.06666564941406,116.18,True,11.13,0.719,7.693,26.93,0,timeout_other,,E3
clean,clean,1000,new_positions,9,1146,38.16666793823242,78.61,True,37.27,1.0527,5.202,0.9,0,timeout_other,,E3
clean,clean,1000,new_positions,10,1148,38.233333587646484,114.83,True,3.87,0.7521,11.671,34.37,0,timeout_other,,E4
clean,clean,1000,new_positions,11,1145,38.13333511352539,115.98,True,4.07,0.7205,9.681,34.07,0,timeout_other,,E4
clean,clean,1000,new_positions,12,1144,38.099998474121094,114.49,True,7.13,0.7751,11.374,30.97,0,timeout_other,,E4
clean,clean,1000,new_positions,13,1080,35.96666717529297,112.6,True,20.37,0.6892,7.421,15.6,0,timeout_other,,E5
clean,clean,1000,new_positions,14,1068,35.56666564941406,109.72,True,5.1,0.6922,8.571,30.47,0,timeout_other,,E5
clean,clean,1000,new_positions,15,1062,35.36666488647461,116.76,True,10.33,0.7528,8.13,25.03,0,timeout_other,,E5
clean,clean,1000,reduced_lighting,1,746,24.83333396911621,123.35,True,13.77,0.8335,9.48,11.07,1,success,,-
clean,clean,1000,reduced_lighting,2,593,19.733333587646484,122.23,True,6.93,0.7804,5.85,12.8,1,success,,-
clean,clean,1000,reduced_lighting,3,539,17.933332443237305,123.71,True,4.0,0.754,6.115,13.93,1,success,,-
clean,clean,1000,reduced_lighting,4,621,20.66666603088379,119.3,True,6.63,0.7794,6.924,14.03,1,success,,-
clean,clean,1000,reduced_lighting,5,504,16.766666412353516,115.76,True,4.23,0.7573,5.489,12.53,1,success,,-
clean,clean,1000,reduced_lighting,6,1151,38.33333206176758,115.01,True,34.1,0.7678,9.639,4.23,0,timeout_other,,-
clean,clean,1000,reduced_lighting,7,604,20.100000381469727,119.73,True,7.57,0.7942,28.426,12.53,1,success,,-
clean,clean,1000,reduced_lighting,8,514,17.100000381469727,128.77,True,5.3,0.8207,7.401,11.8,1,success,,-
clean,clean,1000,reduced_lighting,9,633,21.066667556762695,117.44,True,4.97,0.7605,9.979,16.1,1,success,,-
clean,clean,1000,reduced_lighting,10,1151,38.33333206176758,124.4,True,2.47,0.7563,8.307,35.87,0,contact_no_grasp,,-
clean,clean,1000,reduced_lighting,11,621,20.66666603088379,112.46,True,5.67,0.7632,7.561,15.0,1,success,,-
clean,clean,1000,reduced_lighting,12,613,20.399999618530273,120.8,True,7.7,0.8228,7.864,12.7,1,success,,-
clean,clean,1000,reduced_lighting,13,784,26.100000381469727,117.8,True,13.53,0.7787,7.951,12.57,1,success,,-
clean,clean,1000,reduced_lighting,14,1151,38.33333206176758,121.45,True,6.9,0.7171,10.261,31.43,0,contact_no_grasp,,-
clean,clean,1000,reduced_lighting,15,1061,35.33333206176758,116.1,True,22.13,0.7527,6.587,13.2,1,success,,-
clean-seed2000,clean,2000,different_object,1,831,27.66666603088379,116.47,True,14.87,0.8428,6.351,12.8,1,success,,-
clean-seed2000,clean,2000,different_object,2,742,24.700000762939453,116.05,True,12.07,0.7583,6.699,12.63,1,success,,-
clean-seed2000,clean,2000,different_object,3,1151,38.33333206176758,13.14,False,,,,,0,no_departure,,-
clean-seed2000,clean,2000,different_object,4,1151,38.33333206176758,120.24,True,24.63,0.804,12.988,13.7,1,success,,-
clean-seed2000,clean,2000,different_object,5,757,25.200000762939453,117.31,True,11.87,0.7312,7.298,13.33,1,success,,-
clean-seed2000,clean,2000,different_object,6,464,15.433333396911621,116.64,True,3.77,0.788,6.385,11.67,1,success,,-
clean-seed2000,clean,2000,different_object,7,1151,38.33333206176758,112.93,True,27.27,0.7905,6.048,11.07,1,success,,-
clean-seed2000,clean,2000,different_object,8,774,25.766666412353516,116.52,True,12.7,0.7858,6.565,13.07,1,success,,-
clean-seed2000,clean,2000,different_object,9,1151,38.33333206176758,10.91,False,,,,,0,no_departure,,-
clean-seed2000,clean,2000,different_object,10,891,29.66666603088379,115.15,True,16.93,0.8145,8.25,12.73,1,success,,-
clean-seed2000,clean,2000,different_object,11,601,20.0,114.5,True,5.73,0.713,6.655,14.27,1,success,,-
