condition,eval_cell,seed,episode,instance,success,flagged,failure_mode,notes,
randomized,new_positions,1000,2,E1,0,,no_departure,Didn't move,Barely shifted at the end
randomized,new_positions,1000,3,E1,0,,timeout_other,Started to go to the right place then went to T6 and T4,
randomized,new_positions,1000,4,E2,0,,timeout_other,Goes to T1,
randomized,new_positions,1000,5,E2,0,,timeout_other,Goes to T1,
randomized,new_positions,1000,6,E2,0,,timeout_other,,
randomized,new_positions,1000,7,E3,0,,no_departure,didn't move,
randomized,new_positions,1000,8,E3,0,,timeout_other,Went between T6 and T4,
randomized,new_positions,1000,9,E3,0,,timeout_other,Went between T6 and T4,
randomized,new_positions,1000,10,E4,0,,timeout_other,,
randomized,new_positions,1000,11,E4,0,,no_departure,Didn't move,
randomized,new_positions,1000,12,E4,0,,timeout_other,,
randomized,new_positions,1000,13,E5,0,,timeout_other,,
randomized,new_positions,1000,14,E5,0,,no_departure,didn't move,
randomized,new_positions,1000,15,E5,0,,no_departure,didn't move,
randomized,reduced_lighting,1000,1,-,0,,contact_no_grasp,"Missed cube initially, bumped it back",
randomized,reduced_lighting,1000,2,-,0,,timeout_other,,
randomized,reduced_lighting,1000,3,-,1,,success,,
randomized,reduced_lighting,1000,4,-,1,,success,,
randomized,reduced_lighting,1000,5,-,1,,success,,
randomized,reduced_lighting,1000,6,-,0,,contact_no_grasp,Bumped cube and couldn't recover,
randomized,reduced_lighting,1000,7,-,0,,timeout_other,,
randomized,reduced_lighting,1000,8,-,0,,timeout_other,,
randomized,reduced_lighting,1000,9,-,1,,success,,
randomized,reduced_lighting,1000,10,-,0,,contact_no_grasp,Bumped cube forward and couldn't recover,
randomized,reduced_lighting,1000,11,-,0,,timeout_other,,
randomized,reduced_lighting,1000,12,-,0,,timeout_other,,
randomized,reduced_lighting,1000,13,-,1,,success,,
randomized,reduced_lighting,1000,14,-,0,,grasp_drop,Bumped cup with cube and dropped it,
randomized,reduced_lighting,1000,15,-,0,,timeout_other,,
randomized,different_object,1000,1,-,0,,no_departure,,
randomized,different_object,1000,2,-,0,,no_departure,,
randomized,different_object,1000,3,-,0,,no_departure,,
randomized,different_object,1000,4,-,0,,contact_no_grasp,"Went between T10 and T6, fixed itself and touched cube before failing",
randomized,different_object,1000,5,-,0,,timeout_other,Went to T6,
randomized,different_object,1000,6,-,0,,timeout_other,,
randomized,different_object,1000,7,-,0,,timeout_other,,
randomized,different_object,1000,8,-,0,,timeout_other,,
randomized,different_object,1000,9,-,0,,no_departure,,
randomized,different_object,1000,10,-,0,,timeout_other,,
randomized,different_object,1000,11,-,0,,grasp_drop,"Had cube and dropped it, then also almost recovered",
randomized,different_object,1000,12,-,0,,timeout_other,Went to T8,
randomized,different_object,1000,13,-,0,,timeout_other,,
randomized,different_object,1000,14,-,0,,timeout_other,,
randomized,different_object,1000,15,-,0,,timeout_other,,
randomized,distractors,1000,1,-,0,,timeout_other,,
randomized,distractors,1000,2,-,0,,contact_no_grasp,touched cube,
randomized,distractors,1000,3,-,0,,timeout_other,,
randomized,distractors,1000,4,-,1,,success,,
randomized,distractors,1000,5,-,0,,timeout_other,,
randomized,distractors,1000,6,-,0,,timeout_other,,
randomized,distractors,1000,7,-,0,,timeout_other,,
randomized,distractors,1000,8,-,0,,grasp_drop,,
randomized,distractors,1000,9,-,0,,timeout_other,,
randomized,distractors,1000,10,-,0,,timeout_other,,
randomized,distractors,1000,11,-,0,,timeout_other,,
randomized,distractors,1000,12,-,0,,timeout_other,,
randomized,distractors,1000,13,-,0,,timeout_other,,
randomized,distractors,1000,14,-,0,,timeout_other,,
randomized,distractors,1000,15,-,0,,timeout_other,,
recovery,in_distribution,1000,1,-,0,,deliberate_drop,Dropped cube,
recovery,in_distribution,1000,2,-,1,,success,,
recovery,in_distribution,1000,3,-,1,,success,,
recovery,in_distribution,1000,4,-,0,,deliberate_drop,"Dropped cube, cube landed under arm, tried going back to original spot and then closer to t7",
recovery,in_distribution,1000,5,-,0,,deliberate_drop,"Dropped cube, it hit a spot it hasn't been to before, and went to T4 and T3ish (north of board)",
recovery,in_distribution,1000,6,-,0,,deliberate_drop,"Dropped cube and missed, looked like it was going to get on third try but timedout",
recovery,in_distribution,1000,7,-,0,,grasp_drop,"Dropped cube by hitting the cup on accident, almost recovered it but kept missing",
recovery,in_distribution,1000,8,-,1,,success,,
recovery,in_distribution,1000,9,-,1,,success,,
recovery,in_distribution,1000,10,-,1,,success,,
recovery,in_distribution,1000,11,-,1,,success,,
recovery,in_distribution,1000,12,-,0,,deliberate_drop,Dropped cube and missed the recovery a few times,
recovery,in_distribution,1000,13,-,0,,deliberate_drop,Dropped cube and missed the recovery a few times,
recovery,in_distribution,1000,14,-,1,,success,,
recovery,in_distribution,1000,15,-,1,,success,,
recovery,new_positions,1000,1,E1,0,,timeout_other,,
recovery,new_positions,1000,2,E1,0,,no_departure,,
recovery,new_positions,1000,3,E1,0,,timeout_other,,
recovery,new_positions,1000,4,E2,0,,no_departure,,
recovery,new_positions,1000,5,E2,0,,no_departure,,
recovery,new_positions,1000,6,E2,0,,timeout_other,,
recovery,new_positions,1000,7,E3,0,,timeout_other,,
recovery,new_positions,1000,8,E3,0,,contact_no_grasp,Touched the cube after failing at T6,
recovery,new_positions,1000,9,E3,0,,contact_no_grasp,Touched the cube after failing at T6,
recovery,new_positions,1000,10,E4,0,,timeout_other,,
recovery,new_positions,1000,11,E4,0,,timeout_other,,
recovery,new_positions,1000,12,E4,0,,timeout_other,,
recovery,new_positions,1000,13,E5,0,,timeout_other,,
recovery,new_positions,1000,14,E5,0,,timeout_other,,
recovery,new_positions,1000,15,E5,0,,timeout_other,,
recovery,reduced_lighting,1000,1,-,0,,deliberate_drop,,
recovery,reduced_lighting,1000,2,-,0,,deliberate_drop,,
recovery,reduced_lighting,1000,3,-,0,,deliberate_drop,,
recovery,reduced_lighting,1000,4,-,0,,grasp_drop,Dropped outside of cup (not on purpose),
recovery,reduced_lighting,1000,5,-,1,,success,,
recovery,reduced_lighting,1000,6,-,0,,deliberate_drop,,
recovery,reduced_lighting,1000,7,-,1,,success,,
recovery,reduced_lighting,1000,8,-,1,,success,,
recovery,reduced_lighting,1000,9,-,0,,deliberate_drop,,
recovery,reduced_lighting,1000,10,-,0,,deliberate_drop,,
recovery,reduced_lighting,1000,11,-,1,,success,,
recovery,reduced_lighting,1000,12,-,1,,success,,
recovery,reduced_lighting,1000,13,-,1,,success,,
recovery,reduced_lighting,1000,14,-,0,,deliberate_drop,,
recovery,reduced_lighting,1000,15,-,1,,success,,
recovery,different_object,1000,1,-,0,,deliberate_drop,,
recovery,different_object,1000,2,-,1,,success,,
recovery,different_object,1000,3,-,1,,success,,
recovery,different_object,1000,4,-,0,,deliberate_drop,,
recovery,different_object,1000,5,-,1,,success,,
recovery,different_object,1000,6,-,1,,success,,
recovery,different_object,1000,7,-,1,,success,"Didn't drop cube, held over cup, borught back to beginning, then before time ran out brought it to cup to drop",
recovery,different_object,1000,8,-,1,,success,,
recovery,different_object,1000,9,-,1,,success,,
recovery,different_object,1000,10,-,1,,success,,
recovery,different_object,1000,11,-,1,,success,,
recovery,different_object,1000,12,-,1,,success,,
recovery,different_object,1000,13,-,0,,deliberate_drop,,
recovery,different_object,1000,14,-,0,,deliberate_drop,,
recovery,different_object,1000,15,-,1,,success,,
recovery,distractors,1000,1,-,1,,success,,
recovery,distractors,1000,2,-,1,,success,,
recovery,distractors,1000,3,-,1,,success,,
