seed,condition,in_distribution,held_out_mean,generalization_gap
1000,recovery,0.5333333333333333,0.5166666666666667,0.016666666666666607
1000,color,0.8666666666666667,0.6666666666666667,0.19999999999999996
1000,randomized,0.4,0.09999999999999999,0.30000000000000004
1000,clean,1.0,0.6666666666666667,0.33333333333333326
