seed,condition,eval_cell,n,successes,success_rate,ci_low,ci_high
1000,clean,different_object,15,15,1.0,0.7961166989641515,1.0
1000,clean,distractors,15,13,0.8666666666666667,0.6211801716767764,0.9626387408969346
1000,clean,in_distribution,15,15,1.0,0.7961166989641515,1.0
1000,clean,new_positions,15,0,0.0,0.0,0.20388330103584862
1000,clean,reduced_lighting,15,12,0.8,0.5481455128483065,0.9295245065301844
1000,color,different_object,15,15,1.0,0.7961166989641515,1.0
1000,color,distractors,15,13,0.8666666666666667,0.6211801716767764,0.9626387408969346
1000,color,in_distribution,15,13,0.8666666666666667,0.6211801716767764,0.9626387408969346
1000,color,new_positions,15,0,0.0,0.0,0.20388330103584862
1000,color,reduced_lighting,15,12,0.8,0.5481455128483065,0.9295245065301844
1000,randomized,different_object,15,0,0.0,0.0,0.20388330103584862
1000,randomized,distractors,15,1,0.06666666666666667,0.011866895493268553,0.2981652987378003
1000,randomized,in_distribution,15,6,0.4,0.1982449614134158,0.6425316987937539
1000,randomized,new_positions,15,0,0.0,0.0,0.20388330103584862
1000,randomized,reduced_lighting,15,5,0.3333333333333333,0.1517632443971473,0.5828645226148023
1000,recovery,different_object,15,11,0.7333333333333333,0.4804956594401943,0.8910254667430761
1000,recovery,distractors,15,13,0.8666666666666667,0.6211801716767764,0.9626387408969346
1000,recovery,in_distribution,15,8,0.5333333333333333,0.30116980025498397,0.7519046463426261
1000,recovery,new_positions,15,0,0.0,0.0,0.20388330103584862
1000,recovery,reduced_lighting,15,7,0.4666666666666667,0.24809535365737387,0.698830199745016
