seed,condition,eval_cell,n,successes,success_rate,ci_low,ci_high
2000,clean,different_object,15,12,0.8,0.5481455128483065,0.9295245065301844
2000,clean,distractors,15,10,0.6666666666666666,0.41713547738519774,0.8482367556028526
2000,clean,in_distribution,15,15,1.0,0.7961166989641515,1.0
2000,clean,new_positions,15,0,0.0,0.0,0.20388330103584862
2000,clean,reduced_lighting,15,9,0.6,0.357468301206246,0.8017550385865841
2000,color,different_object,15,15,1.0,0.7961166989641515,1.0
2000,color,distractors,15,15,1.0,0.7961166989641515,1.0
2000,color,in_distribution,15,12,0.8,0.5481455128483065,0.9295245065301844
2000,color,new_positions,15,0,0.0,0.0,0.20388330103584862
2000,color,reduced_lighting,15,14,0.9333333333333333,0.7018347012621998,0.9881331045067315
2000,randomized,different_object,15,2,0.13333333333333333,0.03736125910306537,0.37881982832322364
2000,randomized,distractors,15,0,0.0,0.0,0.20388330103584862
2000,randomized,in_distribution,15,6,0.4,0.1982449614134158,0.6425316987937539
2000,randomized,new_positions,15,0,0.0,0.0,0.20388330103584862
2000,randomized,reduced_lighting,15,5,0.3333333333333333,0.1517632443971473,0.5828645226148023
2000,recovery,different_object,15,5,0.3333333333333333,0.1517632443971473,0.5828645226148023
2000,recovery,distractors,15,12,0.8,0.5481455128483065,0.9295245065301844
2000,recovery,in_distribution,15,9,0.6,0.357468301206246,0.8017550385865841
2000,recovery,new_positions,15,0,0.0,0.0,0.20388330103584862
2000,recovery,reduced_lighting,15,5,0.3333333333333333,0.1517632443971473,0.5828645226148023
