seed,eval_cell,matched_condition,matched,matched_rate,baseline,baseline_counts,baseline_rate,difference,diff_ci_low,diff_ci_high,fisher_p
2000,new_positions,randomized,0/15,0.0,clean,0/15,0.0,0.0,-0.20388330103584862,0.20388330103584862,1.0
2000,different_object,color,15/15,1.0,clean,12/15,0.8,0.19999999999999996,-0.04154709319957092,0.4518544871516935,0.22413793103448276
